OID_,HUC_12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT95
48,070802070203,48,163632.000000000000000,147268800.000000000000000,11,95,84,78.268211596753517,14.498446542485516,12807184.000000000000000,14,82,42,82,82
49,070802020605,49,108228.000000000000000,97405200.000000000000000,11,95,84,75.357227334885366,18.641774396245694,8155762.000000000000000,15,82,52,82,82
50,070801020303,50,110199.000000000000000,99179100.000000000000000,11,95,84,78.882004373906000,15.463572857717873,8692718.000000000000000,15,82,31,82,90
51,101702040804,51,116768.000000000000000,105091200.000000000000000,11,95,84,75.089510824883988,19.747750346441087,8768052.000000000000000,14,82,52,82,82
52,102300031302,52,94899.000000000000000,85409100.000000000000000,11,95,84,72.408107566992442,18.998214195423152,6871457.000000000000000,15,82,24,82,82
53,101702032402,53,105242.000000000000000,94717800.000000000000000,11,95,84,78.829830295889096,12.593361812376177,8296209.000000000000000,13,82,52,82,82
54,070600040506,54,103367.000000000000000,93030300.000000000000000,11,95,84,68.030561010768224,20.941643308168384,7032115.000000000000000,15,82,31,81,82
55,101702032003,55,112148.000000000000000,100933200.000000000000000,11,95,84,79.042488497341637,12.712494777649001,8864457.000000000000000,14,82,52,82,82
56,101702032202,56,133586.000000000000000,120227400.000000000000000,11,95,84,78.390325333493152,13.758190180690502,10471850.000000000000000,13,82,11,82,82
57,101702032502,57,61838.000000000000000,55654200.000000000000000,11,95,84,76.241065364339320,18.117131784405128,4714595.000000000000000,13,82,31,82,90
58,070801030104,58,126120.000000000000000,113508000.000000000000000,11,95,84,77.640968918490799,14.969114972415431,9792079.000000000000000,14,82,42,82,82
59,070801030201,59,172647.000000000000000,155382300.000000000000000,11,95,84,69.449182435838253,22.238002487603467,11990193.000000000000000,15,82,42,82,82
60,102300031301,60,94776.000000000000000,85298400.000000000000000,11,95,84,75.553346838862296,16.318974903748149,7160644.000000000000000,15,82,24,82,82
61,102300020202,61,120323.000000000000000,108290700.000000000000000,11,95,84,76.646260482201896,17.006961642342642,9222308.000000000000000,13,82,52,82,82
62,070600040603,62,47338.000000000000000,42604200.000000000000000,11,95,84,66.950166884954925,20.481410585041122,3169287.000000000000000,14,82,24,81,82
63,071000090302,63,141439.000000000000000,127295100.000000000000000,11,95,84,70.565742122044639,19.139923860981106,9980748.000000000000000,15,81,24,81,82
64,070801030502,64,170777.000000000000000,153699300.000000000000000,11,95,84,78.190294946040311,14.498323093377850,13353104.000000000000000,14,82,31,82,82
65,070801030203,65,101963.000000000000000,91766700.000000000000000,11,95,84,74.814060002158186,18.490678694616186,7628266.000000000000000,15,82,24,82,90
66,070802060503,66,50721.000000000000000,45648900.000000000000000,11,95,84,74.052128309773636,20.217104098655188,3755998.000000000000000,14,82,42,82,82
67,102400020505,67,78765.000000000000000,70888500.000000000000000,11,95,84,79.063873547895653,14.268570309444426,6227466.000000000000000,13,82,52,82,90
68,102400020606,68,115439.000000000000000,103895100.000000000000000,11,95,84,77.761337156420282,14.299909281863533,8976691.000000000000000,15,82,31,82,82
69,071000041003,69,90501.000000000000000,81450900.000000000000000,11,95,84,32.198561341863801,22.415006176231561,2914002.000000000000000,15,22,42,23,90
70,102300060407,70,120023.000000000000000,108020700.000000000000000,11,95,84,61.166209809785826,26.047274119898265,7341352.000000000000000,15,82,42,81,82
71,102300031208,71,49542.000000000000000,44587800.000000000000000,11,95,84,78.635359896653640,13.373916712333516,3895753.000000000000000,14,82,31,82,82
72,102300031407,72,74095.000000000000000,66685500.000000000000000,11,95,84,79.077036237262661,12.530252359820665,5859213.000000000000000,15,82,52,82,82
73,070802050906,73,119642.000000000000000,107677800.000000000000000,11,95,84,52.855318366459535,30.469703226948649,6323716.000000000000000,15,82,52,71,90
74,070802050402,74,96526.000000000000000,86873400.000000000000000,11,95,84,77.636626401177239,15.611889538064677,7493953.000000000000000,14,82,42,82,82
